srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,proto_encoded,state_encoded,service_encoded,srcip_encoded,dstip_encoded
4,35681.0,8,45031.0,0.0,0.0,0.032683,3614.0,45044.0,31.0,29.0,7.0,24.0,0.0,869932.375,10847964.0,60.0,62.0,255.0,255.0,3813616335.0,3813914652.0,60.0,727.0,0.0,0.0,34.040364,32.701438,1421956376.0,1421956376.0,0.547763,0.525754,0.000726,0.000602,0.000124,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,0,2.0,2.0,3.0,5,9
2,0.0,9,0.0,0.0,0.0,5e-06,180.0,0.0,254.0,0.0,0.0,0.0,0.0,144000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1421930644.0,1421930644.0,0.005,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,6.0,5.0,4.0,4.0,4.0,4.0,0,3.0,3.0,3.0,3,10
3,1043.0,3,53.0,0.0,0.0,3e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,152000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424230722.0,1424230722.0,0.003,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,34.0,34.0,25.0,25.0,25.0,25.0,34.0,0,1.0,3.0,1.0,4,4
4,3762.0,8,6881.0,0.0,0.0,0.017883,1540.0,1644.0,31.0,29.0,4.0,4.0,0.0,645976.5625,694738.0,16.0,18.0,255.0,255.0,3060140432.0,3064723875.0,96.0,91.0,0.0,0.0,70.838644,2.077696,1424246378.0,1424246378.0,1.172133,1.025412,0.000563,0.000447,0.000116,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,3.0,5.0,5.0,6.0,3.0,1.0,3.0,0,2.0,2.0,3.0,5,9
4,1158.0,10,25.0,0.0,0.0,0.028044,37552.0,3276.0,31.0,29.0,18.0,8.0,0.0,10506347.0,911424.875,52.0,40.0,255.0,255.0,260472436.0,2411509007.0,722.0,82.0,0.0,0.0,34.386064,1.697062,1424250189.0,1424250189.0,0.55418,0.705897,0.000633,0.000507,0.000126,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,0,2.0,2.0,5.0,5,11
9,59527.0,2,80.0,0.0,0.0,0.508677,2440.0,268.0,254.0,252.0,2.0,1.0,0.0,34536.65234,3522.864258,10.0,6.0,255.0,255.0,3436261335.0,2806130628.0,244.0,45.0,1.0,0.0,2856.938204,144.374922,1424235159.0,1424235160.0,55.154667,91.636602,0.111386,0.050485,0.060901,0.0,1.0,1.0,0.04522246535375638,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,2.0,2.0,4.0,10,3
10,45084.0,4,25.0,0.0,0.0,0.020292,37210.0,3276.0,31.0,29.0,18.0,8.0,0.0,14387936.0,1259609.625,52.0,40.0,255.0,255.0,1263965685.0,1264957298.0,716.0,82.0,0.0,0.0,21.851874,0.985496,1424240012.0,1424240012.0,0.39892,0.508256,0.000602,0.000465,0.000137,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,0,2.0,2.0,5.0,11,5
2,1043.0,2,53.0,0.0,0.0,9e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,50666664.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424254727.0,1424254727.0,0.009,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,16.0,16.0,16.0,17.0,16.0,16.0,17.0,0,1.0,3.0,1.0,3,3
3,0.0,11,0.0,0.0,0.0,3e-06,200.0,0.0,254.0,0.0,0.0,0.0,0.0,266666656.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1424230395.0,1424230395.0,0.003,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,0,4.0,3.0,3.0,4,12
4,24661.0,12,6881.0,0.0,0.0,1.479239,13142.0,548216.0,31.0,29.0,21.0,197.0,0.0,70766.11719,2958088.5,228.0,438.0,255.0,255.0,2281069328.0,153554217.0,58.0,1252.0,0.0,0.0,468.946147,351.189903,1421942311.0,1421942313.0,6.514938,3.383954,0.000572,0.00045,0.000122,0.0,0.0,0.0,0.0,0.0,11.0,15.0,5.0,3.0,2.0,1.0,1.0,0,2.0,2.0,3.0,5,13
11,32863.0,8,80.0,0.0,0.0,1.009947,1684.0,10168.0,31.0,29.0,3.0,5.0,0.0,12388.76953,76075.28125,14.0,18.0,255.0,255.0,576944609.0,2723345110.0,120.0,565.0,1.0,3924.0,8766.141641,7676.245298,1421969772.0,1421969773.0,77.658536,59.376235,0.000724,0.000546,0.000178,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,0,2.0,2.0,4.0,12,9
6,1043.0,9,53.0,0.0,0.0,9e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,50666664.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424223433.0,1424223433.0,0.009,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,42.0,42.0,34.0,35.0,34.0,16.0,42.0,0,1.0,3.0,1.0,7,10
12,15626.0,12,25.0,0.0,0.0,0.149852,37210.0,3172.0,31.0,29.0,18.0,8.0,0.0,1948322.5,164909.3906,52.0,38.0,255.0,255.0,4211062487.0,4207902760.0,716.0,83.0,0.0,0.0,375.1175,13.054102,1424239469.0,1424239469.0,2.99024,4.035838,0.000653,0.000523,0.00013,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,1.0,1.0,4.0,7.0,1.0,1.0,3.0,0,2.0,2.0,5.0,13,13
13,48948.0,13,5190.0,0.0,0.0,0.005633,1958.0,2308.0,31.0,29.0,6.0,6.0,0.0,2654358.25,3141487.75,22.0,24.0,255.0,255.0,2641066775.0,491810881.0,89.0,96.0,0.0,0.0,15.368049,13.067595,1424250959.0,1424250959.0,0.25181,0.216,0.000802,0.000656,0.000146,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0,2.0,2.0,3.0,14,14
13,13238.0,12,111.0,0.0,0.0,0.004759,568.0,304.0,31.0,29.0,0.0,0.0,0.0,716116.8125,383273.7813,4.0,4.0,0.0,0.0,0.0,0.0,142.0,76.0,0.0,0.0,1.732413,1.518159,1421968588.0,1421968588.0,1.232,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,6.0,6.0,1.0,1.0,4.0,0,1.0,1.0,3.0,14,13
3,1043.0,14,53.0,0.0,0.0,4e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,114000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424245697.0,1424245697.0,0.004,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,28.0,28.0,18.0,18.0,18.0,18.0,28.0,0,1.0,3.0,1.0,4,15
12,55650.0,1,6881.0,0.0,0.0,0.188855,1540.0,1644.0,31.0,29.0,4.0,4.0,0.0,61168.61719,65785.91406,16.0,18.0,255.0,255.0,3120848945.0,997993378.0,96.0,91.0,0.0,0.0,755.753814,24.225652,1421966712.0,1421966712.0,12.5694,11.079,0.000638,0.000502,0.000136,0.0,0.0,0.0,0.0,0.0,9.0,6.0,4.0,4.0,4.0,1.0,4.0,0,2.0,2.0,3.0,13,2
5,47439.0,7,53.0,0.0,0.0,3e-06,264.0,0.0,60.0,0.0,0.0,0.0,0.0,352000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,1424232014.0,1424232014.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,27.0,27.0,25.0,25.0,25.0,25.0,27.0,0,1.0,3.0,1.0,6,8
10,45237.0,1,53.0,0.0,0.0,2e-06,146.0,0.0,31.0,0.0,0.0,0.0,0.0,292000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,1421972009.0,1421972009.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0,1.0,3.0,1.0,11,2
14,27502.0,8,80.0,0.0,0.0,1.024698,1684.0,10168.0,31.0,29.0,3.0,5.0,0.0,12210.42676,74980.14063,14.0,18.0,255.0,255.0,688121049.0,689145805.0,120.0,565.0,1.0,3924.0,8766.922804,7675.849612,1424258977.0,1424258978.0,78.797538,60.245588,0.000656,0.000517,0.000139,0.0,0.0,1.0,0.04522246535375638,0.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0,2.0,2.0,4.0,15,9
2,0.0,15,0.0,0.0,0.0,5e-06,200.0,0.0,254.0,0.0,0.0,0.0,0.0,160000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1424244389.0,1424244389.0,0.005,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,12.0,12.0,6.0,6.0,5.0,5.0,17.0,0,5.0,3.0,3.0,3,16
11,40002.0,8,38792.0,0.0,0.0,0.425398,4696.0,3080.0,31.0,29.0,7.0,7.0,0.0,85172.00781,56004.02734,28.0,30.0,255.0,255.0,2553162490.0,2721654903.0,168.0,103.0,0.0,0.0,860.43465,21.605705,1424242115.0,1424242115.0,15.743629,14.650966,0.000657,0.000517,0.00014,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,5.0,12.0,4.0,5.0,1.0,1.0,3.0,0,2.0,2.0,3.0,12,9
6,47439.0,9,53.0,0.0,0.0,9e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,50666664.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424224306.0,1424224306.0,0.009,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,24.0,24.0,17.0,17.0,17.0,9.0,24.0,0,1.0,3.0,1.0,7,10
3,50495.0,16,80.0,0.0,0.0,1.53817,806.0,1066.0,62.0,252.0,2.0,2.0,0.0,3775.915527,4992.946289,10.0,10.0,255.0,255.0,2967812903.0,2191902311.0,81.0,107.0,1.0,91.0,9532.576431,369.749844,1424254123.0,1424254124.0,170.907778,155.126328,0.226873,0.08071,0.146163,0.0,1.0,1.0,0.04522246535375638,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2.0,2.0,4.0,4,17
6,0.0,17,0.0,0.0,0.0,8e-06,200.0,0.0,254.0,0.0,0.0,0.0,0.0,100000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1424223288.0,1424223288.0,0.008,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,9.0,9.0,4.0,13.0,4.0,4.0,9.0,0,4.0,3.0,3.0,7,18
2,47439.0,3,53.0,0.0,0.0,8e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,57000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424238967.0,1424238967.0,0.008,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,42.0,42.0,17.0,17.0,17.0,17.0,42.0,0,1.0,3.0,1.0,3,4
6,47439.0,6,53.0,0.0,0.0,1e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,456000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424262068.0,1424262068.0,0.001,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,1.0,3.0,1.0,7,7
3,1043.0,3,53.0,0.0,0.0,9e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,50666664.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424230772.0,1424230772.0,0.009,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,27.0,27.0,25.0,25.0,25.0,25.0,27.0,0,1.0,3.0,1.0,4,4
8,56718.0,8,53.0,0.0,0.0,0.001086,146.0,178.0,31.0,29.0,0.0,0.0,0.0,537753.25,655616.9375,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1424221837.0,1424221837.0,0.009,0.006,0.0,0.0,0.0,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,9,9
14,32493.0,12,6881.0,0.0,0.0,0.265058,13038.0,548216.0,31.0,29.0,21.0,197.0,0.0,391793.4688,16508537.0,226.0,438.0,255.0,255.0,2926115162.0,780010886.0,58.0,1252.0,0.0,0.0,64.269813,32.906576,1424244950.0,1424244950.0,1.176644,0.605327,0.000653,0.000526,0.000127,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,7.0,6.0,3.0,5.0,3.0,1.0,5.0,0,2.0,2.0,3.0,15,13
3,64414.0,6,520.0,0.0,0.0,6e-06,104.0,0.0,254.0,0.0,0.0,0.0,0.0,69333328.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1424245024.0,1424245024.0,0.006,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,8.0,8.0,3.0,3.0,3.0,1.0,8.0,0,1.0,3.0,3.0,4,7
1,18297.0,10,53.0,0.0,0.0,0.001116,130.0,162.0,31.0,29.0,0.0,0.0,0.0,465949.8125,580645.1875,2.0,2.0,0.0,0.0,0.0,0.0,65.0,81.0,0.0,0.0,0.0,0.0,1421971021.0,1421971021.0,0.011,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,6.0,1.0,1.0,2.0,0,1.0,1.0,1.0,2,11
2,0.0,9,0.0,0.0,0.0,6e-06,200.0,0.0,254.0,0.0,0.0,0.0,0.0,133333328.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1421930739.0,1421930739.0,0.006,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,9.0,4.0,7.0,4.0,4.0,4.0,0,4.0,3.0,3.0,3,10
0,60620.0,10,111.0,0.0,0.0,0.005253,568.0,320.0,31.0,29.0,0.0,0.0,0.0,648772.125,365505.4063,4.0,4.0,0.0,0.0,0.0,0.0,142.0,80.0,0.0,0.0,1.959395,1.779317,1421950317.0,1421950317.0,1.392,1.263667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,7.0,5.0,1.0,1.0,3.0,0,1.0,1.0,3.0,1,11
13,58087.0,18,53.0,0.0,0.0,0.001051,146.0,178.0,31.0,29.0,0.0,0.0,0.0,555661.3125,677450.0625,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1424231980.0,1424231980.0,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,0,1.0,1.0,1.0,14,19
14,37068.0,10,53.0,0.0,0.0,0.00099,130.0,162.0,31.0,29.0,0.0,0.0,0.0,525252.5625,654545.5,2.0,2.0,0.0,0.0,0.0,0.0,65.0,81.0,0.0,0.0,0.0,0.0,1421967970.0,1421967970.0,0.001,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,0,1.0,1.0,1.0,15,11
8,15724.0,4,53.0,0.0,0.0,0.001174,146.0,178.0,31.0,29.0,0.0,0.0,0.0,497444.6563,606473.625,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421944434.0,1421944434.0,0.01,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0,1.0,1.0,1.0,9,5
10,24012.0,19,80.0,0.0,0.0,14.584858,19202.0,1087890.0,31.0,29.0,2.0,370.0,0.0,10503.49609,595923.25,360.0,746.0,255.0,255.0,3231340377.0,3265997104.0,53.0,1458.0,1.0,524288.0,5113.965173,3534.900833,1421959160.0,1421959175.0,40.625336,19.576259,0.000674,0.00054,0.000134,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,0,2.0,2.0,4.0,11,20
11,56105.0,0,59386.0,0.0,0.0,0.021923,2974.0,33374.0,31.0,29.0,7.0,18.0,0.0,1062993.25,11935228.0,48.0,50.0,255.0,255.0,1381194439.0,1381504809.0,62.0,667.0,0.0,0.0,25.868488,24.613994,1421934589.0,1421934589.0,0.459745,0.434592,0.000765,0.000617,0.000148,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,2.0,1.0,1.0,1.0,0,2.0,2.0,3.0,12,1
6,49112.0,9,5060.0,0.0,0.0,0.428445,1304.0,724.0,254.0,60.0,0.0,0.0,0.0,12174.25781,6759.327148,2.0,2.0,0.0,0.0,0.0,0.0,652.0,362.0,0.0,0.0,0.0,0.0,1424242527.0,1424242528.0,0.01,0.009,0.0,0.0,0.0,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,7,10
6,1043.0,6,53.0,0.0,0.0,8e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,57000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424260550.0,1424260550.0,0.008,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,28.0,28.0,17.0,17.0,17.0,17.0,28.0,0,1.0,3.0,1.0,7,7
3,47439.0,14,53.0,0.0,0.0,3e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,152000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424246270.0,1424246270.0,0.003,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,26.0,26.0,10.0,11.0,10.0,10.0,26.0,0,1.0,3.0,1.0,4,15
15,47439.0,5,53.0,0.0,0.0,9e-06,264.0,0.0,60.0,0.0,0.0,0.0,0.0,117333328.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,1424253355.0,1424253355.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,35.0,35.0,35.0,35.0,35.0,17.0,35.0,0,1.0,3.0,1.0,16,6
2,1043.0,3,53.0,0.0,0.0,3e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,152000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424237703.0,1424237703.0,0.003,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,27.0,27.0,27.0,27.0,27.0,13.0,27.0,0,1.0,3.0,1.0,3,4
14,65291.0,10,47492.0,0.0,0.0,0.219712,8928.0,320.0,31.0,29.0,4.0,1.0,0.0,301886.0938,9721.817383,14.0,6.0,255.0,255.0,2833337837.0,2862656264.0,638.0,53.0,0.0,0.0,1465.972029,87.362578,1424244889.0,1424244889.0,16.900923,43.825398,0.000583,0.000463,0.00012,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,3.0,3.0,8.0,5.0,1.0,1.0,4.0,0,2.0,2.0,6.0,15,11
2,47439.0,3,53.0,0.0,0.0,5e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,91200000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424239215.0,1424239215.0,0.005,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,40.0,40.0,40.0,40.0,40.0,18.0,40.0,0,1.0,3.0,1.0,3,4
2,1043.0,2,53.0,0.0,0.0,8e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,57000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424254975.0,1424254975.0,0.008,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,26.0,26.0,17.0,18.0,16.0,16.0,26.0,0,1.0,3.0,1.0,3,3
8,25943.0,12,80.0,0.0,0.0,1.0074,1580.0,10168.0,31.0,29.0,3.0,5.0,0.0,11506.84863,76267.61719,12.0,18.0,255.0,255.0,3344653885.0,1200297140.0,132.0,565.0,1.0,3924.0,9540.191788,7682.886367,1424259776.0,1424259777.0,91.549088,59.226942,0.000672,0.000535,0.000137,0.0,0.0,1.0,0.04522246535375638,0.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0,2.0,2.0,4.0,9,13
8,26219.0,20,24118.0,0.0,0.0,0.009461,2334.0,16102.0,31.0,29.0,7.0,12.0,0.0,1919458.875,13257796.0,36.0,38.0,255.0,255.0,3512131658.0,3519233102.0,65.0,424.0,0.0,0.0,16.183014,15.381424,1424259772.0,1424259773.0,0.2614,0.248639,0.00064,0.000507,0.000133,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,9.0,6.0,5.0,7.0,1.0,1.0,4.0,0,2.0,2.0,3.0,9,21
