srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,Label
4,10,10,8,1,1,0.028044,37552,3276,31,29,18,8,4,10506347.0,911424.875,52,40,255,255,260472436,2411509007,722,82,0,0,34.386064,1.697062,1424250189,1424250189,0.55418,0.705897,0.000633,0.000507,0.000126,0,0,,,2,1,2,2,4,1,1,3,0
9,11,2,4,1,1,0.508677,2440,268,254,252,2,1,3,34536.65234,3522.864258,10,6,255,255,3436261335,2806130628,244,45,1,0,2856.938204,144.374922,1424235159,1424235160,55.154667,91.636602,0.111386,0.050485,0.060901,0,1,1.0,,2,1,1,1,2,1,1,1,1
10,12,4,8,1,1,0.020292,37210,3276,31,29,18,8,4,14387936.0,1259609.625,52,40,255,255,1263965685,1264957298,716,82,0,0,21.851874,0.985496,1424240012,1424240012,0.39892,0.508256,0.000602,0.000465,0.000137,0,0,,,2,1,1,2,7,1,1,1,0
2,2,2,0,0,2,9e-06,114,0,254,0,0,0,0,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424254727,1424254727,0.009,0.0,0.0,0.0,0.0,0,2,,,2,16,16,16,17,16,16,17,1
3,8,11,6,3,2,3e-06,200,0,254,0,0,0,2,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424230395,1424230395,0.003,0.0,0.0,0.0,0.0,0,2,,,2,5,5,3,3,3,3,5,1
4,13,12,7,1,1,1.479239,13142,548216,31,29,21,197,2,70766.11719,2958088.5,228,438,255,255,2281069328,153554217,58,1252,0,0,468.946147,351.189903,1421942311,1421942313,6.514938,3.383954,0.000572,0.00045,0.000122,0,0,0.0,0.0,0,11,15,5,3,2,1,1,0
11,14,8,4,1,1,1.009947,1684,10168,31,29,3,5,3,12388.76953,76075.28125,14,18,255,255,576944609,2723345110,120,565,1,3924,8766.141641,7676.245298,1421969772,1421969773,77.658536,59.376235,0.000724,0.000546,0.000178,0,0,1.0,0.0,0,1,1,3,6,1,1,1,0
6,2,9,0,0,2,9e-06,114,0,254,0,0,0,0,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424223433,1424223433,0.009,0.0,0.0,0.0,0.0,0,2,,,2,42,42,34,35,34,16,42,1
12,15,12,8,1,1,0.149852,37210,3172,31,29,18,8,4,1948322.5,164909.3906,52,38,255,255,4211062487,4207902760,716,83,0,0,375.1175,13.054102,1424239469,1424239469,2.99024,4.035838,0.000653,0.000523,0.00013,0,0,,,2,1,1,4,7,1,1,3,0
13,16,13,9,1,1,0.005633,1958,2308,31,29,6,6,2,2654358.25,3141487.75,22,24,255,255,2641066775,491810881,89,96,0,0,15.368049,13.067595,1424250959,1424250959,0.25181,0.216,0.000802,0.000656,0.000146,0,0,,,2,2,4,2,1,1,1,1,0
13,17,12,10,0,0,0.004759,568,304,31,29,0,0,2,716116.8125,383273.7813,4,4,0,0,0,0,142,76,0,0,1.732413,1.518159,1421968588,1421968588,1.232,1.08,0.0,0.0,0.0,0,0,0.0,0.0,0,9,15,6,6,1,1,4,0
3,2,14,0,0,2,4e-06,114,0,254,0,0,0,0,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424245697,1424245697,0.004,0.0,0.0,0.0,0.0,0,2,,,2,28,28,18,18,18,18,28,1
12,18,1,7,1,1,0.188855,1540,1644,31,29,4,4,2,61168.61719,65785.91406,16,18,255,255,3120848945,997993378,96,91,0,0,755.753814,24.225652,1421966712,1421966712,12.5694,11.079,0.000638,0.000502,0.000136,0,0,0.0,0.0,0,9,6,4,4,4,1,4,0
5,5,7,0,0,2,3e-06,264,0,60,0,0,0,0,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424232014,1424232014,0.003,0.0,0.0,0.0,0.0,0,0,,,2,27,27,25,25,25,25,27,0
10,19,1,0,0,2,2e-06,146,0,31,0,0,0,0,292000000.0,0.0,2,0,0,0,0,0,73,0,0,0,0.0,0.0,1421972009,1421972009,0.002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,2,2,1,1,1,0
14,20,8,4,1,1,1.024698,1684,10168,31,29,3,5,3,12210.42676,74980.14063,14,18,255,255,688121049,689145805,120,565,1,3924,8766.922804,7675.849612,1424258977,1424258978,78.797538,60.245588,0.000656,0.000517,0.000139,0,0,1.0,,2,2,1,3,3,2,1,1,0
2,8,15,6,4,2,5e-06,200,0,254,0,0,0,2,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244389,1424244389,0.005,0.0,0.0,0.0,0.0,0,2,,,2,12,12,6,6,5,5,17,1
11,21,8,11,1,1,0.425398,4696,3080,31,29,7,7,2,85172.00781,56004.02734,28,30,255,255,2553162490,2721654903,168,103,0,0,860.43465,21.605705,1424242115,1424242115,15.743629,14.650966,0.000657,0.000517,0.00014,0,0,,,2,5,12,4,5,1,1,3,0
6,5,9,0,0,2,9e-06,114,0,254,0,0,0,0,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424224306,1424224306,0.009,0.0,0.0,0.0,0.0,0,2,,,2,24,24,17,17,17,9,24,1
3,22,16,4,1,1,1.53817,806,1066,62,252,2,2,3,3775.915527,4992.946289,10,10,255,255,2967812903,2191902311,81,107,1,91,9532.576431,369.749844,1424254123,1424254124,170.907778,155.126328,0.226873,0.08071,0.146163,0,1,1.0,,2,4,1,1,1,1,1,1,1
6,8,17,6,3,2,8e-06,200,0,254,0,0,0,2,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223288,1424223288,0.008,0.0,0.0,0.0,0.0,0,2,,,2,9,9,4,13,4,4,9,1
2,5,3,0,0,2,8e-06,114,0,254,0,0,0,0,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424238967,1424238967,0.008,0.0,0.0,0.0,0.0,0,2,,,2,42,42,17,17,17,17,42,1
6,5,6,0,0,2,1e-06,114,0,254,0,0,0,0,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424262068,1424262068,0.001,0.0,0.0,0.0,0.0,0,2,,,2,15,15,15,15,15,15,15,1
3,2,3,0,0,2,9e-06,114,0,254,0,0,0,0,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424230772,1424230772,0.009,0.0,0.0,0.0,0.0,0,2,,,2,27,27,25,25,25,25,27,1
8,23,8,0,0,0,0.001086,146,178,31,29,0,0,0,537753.25,655616.9375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424221837,1424221837,0.009,0.006,0.0,0.0,0.0,0,0,,,2,2,4,4,1,1,1,1,0
14,24,12,7,1,1,0.265058,13038,548216,31,29,21,197,2,391793.4688,16508537.0,226,438,255,255,2926115162,780010886,58,1252,0,0,64.269813,32.906576,1424244950,1424244950,1.176644,0.605327,0.000653,0.000526,0.000127,0,0,,,2,7,6,3,5,3,1,5,0
3,25,6,12,0,2,6e-06,104,0,254,0,0,0,2,69333328.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424245024,1424245024,0.006,0.0,0.0,0.0,0.0,0,2,,,2,8,8,3,3,3,1,8,1
1,26,10,0,0,0,0.001116,130,162,31,29,0,0,0,465949.8125,580645.1875,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421971021,1421971021,0.011,0.005,0.0,0.0,0.0,0,0,0.0,0.0,0,4,3,2,6,1,1,2,0
2,8,9,6,3,2,6e-06,200,0,254,0,0,0,2,133333328.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930739,1421930739,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,10,9,4,7,4,4,4,1
0,27,10,10,0,0,0.005253,568,320,31,29,0,0,2,648772.125,365505.4063,4,4,0,0,0,0,142,80,0,0,1.959395,1.779317,1421950317,1421950317,1.392,1.263667,0.0,0.0,0.0,0,0,0.0,0.0,0,4,10,7,5,1,1,3,0
13,28,18,0,0,0,0.001051,146,178,31,29,0,0,0,555661.3125,677450.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424231980,1424231980,0.006,0.007,0.0,0.0,0.0,0,0,,,2,4,2,1,4,2,1,1,0
14,29,10,0,0,0,0.00099,130,162,31,29,0,0,0,525252.5625,654545.5,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421967970,1421967970,0.001,0.007,0.0,0.0,0.0,0,0,0.0,0.0,0,3,3,2,5,2,1,1,0
8,30,4,0,0,0,0.001174,146,178,31,29,0,0,0,497444.6563,606473.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421944434,1421944434,0.01,0.011,0.0,0.0,0.0,0,0,0.0,0.0,0,1,3,1,3,1,1,1,0
10,31,19,4,1,1,14.584858,19202,1087890,31,29,2,370,3,10503.49609,595923.25,360,746,255,255,3231340377,3265997104,53,1458,1,524288,5113.965173,3534.900833,1421959160,1421959175,40.625336,19.576259,0.000674,0.00054,0.000134,0,0,1.0,0.0,0,1,3,1,5,1,1,1,0
11,32,0,13,1,1,0.021923,2974,33374,31,29,7,18,2,1062993.25,11935228.0,48,50,255,255,1381194439,1381504809,62,667,0,0,25.868488,24.613994,1421934589,1421934589,0.459745,0.434592,0.000765,0.000617,0.000148,0,0,0.0,0.0,0,7,5,2,2,1,1,1,0
6,33,9,14,0,0,0.428445,1304,724,254,60,0,0,2,12174.25781,6759.327148,2,2,0,0,0,0,652,362,0,0,0.0,0.0,1424242527,1424242528,0.01,0.009,0.0,0.0,0.0,0,0,,,2,5,1,1,1,1,1,1,1
6,2,6,0,0,2,8e-06,114,0,254,0,0,0,0,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260550,1424260550,0.008,0.0,0.0,0.0,0.0,0,2,,,2,28,28,17,17,17,17,28,1
3,5,14,0,0,2,3e-06,114,0,254,0,0,0,0,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424246270,1424246270,0.003,0.0,0.0,0.0,0.0,0,2,,,2,26,26,10,11,10,10,26,1
15,5,5,0,0,2,9e-06,264,0,60,0,0,0,0,117333328.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424253355,1424253355,0.009,0.0,0.0,0.0,0.0,0,0,,,2,35,35,35,35,35,17,35,0
2,2,3,0,0,2,3e-06,114,0,254,0,0,0,0,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424237703,1424237703,0.003,0.0,0.0,0.0,0.0,0,2,,,2,27,27,27,27,27,13,27,1
14,34,10,15,1,1,0.219712,8928,320,31,29,4,1,5,301886.0938,9721.817383,14,6,255,255,2833337837,2862656264,638,53,0,0,1465.972029,87.362578,1424244889,1424244889,16.900923,43.825398,0.000583,0.000463,0.00012,0,0,,,2,3,3,8,5,1,1,4,0
2,5,3,0,0,2,5e-06,114,0,254,0,0,0,0,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424239215,1424239215,0.005,0.0,0.0,0.0,0.0,0,2,,,2,40,40,40,40,40,18,40,1
2,2,2,0,0,2,8e-06,114,0,254,0,0,0,0,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424254975,1424254975,0.008,0.0,0.0,0.0,0.0,0,2,,,2,26,26,17,18,16,16,26,1
8,35,12,4,1,1,1.0074,1580,10168,31,29,3,5,3,11506.84863,76267.61719,12,18,255,255,3344653885,1200297140,132,565,1,3924,9540.191788,7682.886367,1424259776,1424259777,91.549088,59.226942,0.000672,0.000535,0.000137,0,0,1.0,,2,2,2,4,1,1,1,1,0
8,36,20,16,1,1,0.009461,2334,16102,31,29,7,12,2,1919458.875,13257796.0,36,38,255,255,3512131658,3519233102,65,424,0,0,16.183014,15.381424,1424259772,1424259773,0.2614,0.248639,0.00064,0.000507,0.000133,0,0,,,2,9,6,5,7,1,1,4,0
3,5,3,0,0,2,8e-06,114,0,254,0,0,0,0,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424231741,1424231741,0.008,0.0,0.0,0.0,0.0,0,2,,,2,37,37,15,15,15,15,37,1
3,2,3,0,0,2,8e-06,114,0,254,0,0,0,0,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424232020,1424232020,0.008,0.0,0.0,0.0,0.0,0,2,,,2,36,36,32,33,32,20,36,1
12,37,12,17,1,1,0.070999,3182,38534,31,29,7,20,2,351666.9375,4261581.5,52,54,255,255,1870201793,4029616548,61,714,0,0,81.052482,79.253214,1424238642,1424238642,1.386039,1.329566,0.000666,0.000529,0.000137,0,0,,,2,4,6,1,1,1,1,4,0
16,5,21,0,0,2,9e-06,264,0,60,0,0,0,0,117333328.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424224876,1424224876,0.009,0.0,0.0,0.0,0.0,0,0,,,2,25,25,8,8,8,8,25,0
6,38,15,18,1,1,1.011643,1276,64946,62,252,6,30,2,9671.395508,505569.625,24,64,255,255,757917571,1403034111,53,1015,0,0,2138.964531,1307.461358,1424229772,1424229773,43.984478,15.840444,0.0626,0.012964,0.049636,0,1,,,2,2,1,1,1,1,1,1,1
0,39,10,19,1,1,0.183084,4550,71834,31,29,7,33,2,196281.5,3099648.25,78,80,255,255,3747643804,1598296870,58,898,0,0,135.44996,134.312126,1421936093,1421936093,2.373208,2.311241,0.000608,0.000489,0.000119,0,0,0.0,0.0,0,2,2,3,2,1,1,1,0
4,40,12,20,1,1,0.06694,3702,48710,31,29,7,24,2,435374.9375,5727517.0,62,62,255,255,1019002455,1019306808,60,786,0,0,70.618755,1.900899,1424222509,1424222509,1.092082,1.088426,0.000656,0.000535,0.000121,0,0,,,2,8,8,7,6,1,1,2,0
13,41,10,21,1,1,0.222329,8928,320,31,29,4,1,5,298332.6563,9607.383789,14,6,255,255,155574500,860563188,638,53,0,0,1513.805337,64.399066,1424239814,1424239814,17.102231,44.329801,0.000729,0.00056,0.000169,0,0,,,2,4,3,7,5,1,1,6,0
8,42,10,7,1,1,3.396797,25056,1094788,31,29,38,390,2,58878.99609,2575398.0,446,858,255,255,3044589262,898449094,56,1276,0,0,3723.33667,2678.113491,1424257749,1424257753,7.66695,3.967611,0.000655,0.000519,0.000136,0,0,,,2,9,13,2,3,2,1,7,0
3,2,14,0,0,2,9e-06,114,0,254,0,0,0,0,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424245944,1424245944,0.009,0.0,0.0,0.0,0.0,0,2,,,2,29,29,10,10,10,10,29,1
8,43,10,10,0,0,0.00467,568,312,31,29,0,0,2,729764.4375,400856.5313,4,4,0,0,0,0,142,78,0,0,1.676316,1.479976,1424231280,1424231280,1.191333,1.051,0.0,0.0,0.0,0,0,,,2,5,5,5,4,1,1,3,0
1,44,20,22,1,1,0.589381,5184,3080,31,29,7,7,2,67854.24219,40422.07031,28,30,255,255,1921223515,4241792178,185,103,0,0,1288.387233,33.498836,1421951560,1421951560,21.81589,20.304379,0.000694,0.00055,0.000144,0,0,0.0,0.0,0,7,9,3,2,1,1,2,0
11,45,20,0,0,0,0.001025,146,178,31,29,0,0,0,569756.125,694634.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421957297,1421957297,0.011,0.005,0.0,0.0,0.0,0,0,0.0,0.0,0,3,5,7,5,1,1,2,0
2,46,16,1,1,1,2.394985,1252,1632,62,252,7,9,1,4008.375977,5204.208008,24,22,255,255,2223815923,380309122,52,74,0,0,5766.773692,7089.854689,1424223882,1424223885,104.129782,110.744286,0.105857,0.06867,0.037187,0,1,,1.0,3,1,1,2,3,1,1,2,1
17,47,4,23,1,1,0.026289,2958,32368,31,29,7,18,2,881585.5,9653011.0,48,50,255,255,2219507483,74428938,62,647,0,0,34.7403,33.03979,1424229100,1424229100,0.563804,0.535167,0.00071,0.000592,0.000118,0,0,,,2,7,4,3,4,1,1,2,0
12,48,8,0,0,0,0.001094,146,178,31,29,0,0,0,533820.875,650822.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424260727,1424260727,0.009,0.003,0.0,0.0,0.0,0,0,,,2,1,1,2,1,1,1,1,0
9,8,15,6,3,2,9e-06,200,0,254,0,0,0,2,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258876,1424258876,0.009,0.0,0.0,0.0,0.0,0,2,,,2,5,5,3,5,3,3,5,1
15,5,5,0,0,2,4e-06,264,0,60,0,0,0,0,264000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424252908,1424252908,0.004,0.0,0.0,0.0,0.0,0,0,,,2,28,28,16,16,16,16,28,0
1,49,12,24,1,1,0.049987,3302,35712,31,29,7,21,2,518694.875,5613459.5,54,56,255,255,2315102796,2311219320,61,638,0,0,58.885992,58.228273,1424256768,1424256768,0.937283,0.897636,0.000751,0.000608,0.000143,0,0,,,2,10,7,4,2,1,1,3,0
5,2,5,0,0,2,5e-06,264,0,60,0,0,0,0,211200000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1421931781,1421931781,0.005,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,3,3,3,3,3,3,3,0
6,50,15,18,1,1,3.857498,1008,6916,62,252,6,8,2,1974.336792,13627.48633,18,20,255,255,104862284,3842375744,56,346,0,0,15506.01102,13742.64394,1424227542,1424227546,226.911647,193.68984,0.324676,0.176681,0.147995,0,1,,,2,2,4,1,1,1,1,1,1
2,51,6,4,1,1,1.193579,842,1542,62,252,2,2,3,5080.518555,9303.113281,10,10,255,255,104832036,4006640389,84,154,1,307,9263.516858,188.820234,1424254332,1424254333,132.619889,124.126664,0.114277,0.049527,0.06475,0,1,1.0,,2,1,1,1,1,1,1,1,1
2,2,3,0,0,2,4e-06,114,0,254,0,0,0,0,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424239920,1424239920,0.004,0.0,0.0,0.0,0.0,0,2,,,2,25,25,24,25,24,24,25,1
2,52,6,8,1,1,2.107215,2088,1716,62,252,7,8,4,7532.216797,6192.05957,20,20,255,255,587841927,576384523,104,86,0,0,5580.359231,116.086289,1424247464,1424247466,110.891053,96.960367,0.439758,0.264965,0.174793,0,1,,,2,1,1,1,2,1,1,1,1
4,53,8,10,0,0,0.005758,568,320,31,29,0,0,2,591872.1875,333449.125,4,4,0,0,0,0,142,80,0,0,2.087381,1.60749,1424225972,1424225972,1.483,1.140667,0.0,0.0,0.0,0,0,,,2,11,6,5,9,1,1,4,0
6,5,9,0,0,2,3e-06,114,0,254,0,0,0,0,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424223621,1424223621,0.003,0.0,0.0,0.0,0.0,0,2,,,2,35,35,20,20,20,13,35,1
2,5,3,0,0,2,9e-06,114,0,254,0,0,0,0,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424237925,1424237925,0.009,0.0,0.0,0.0,0.0,0,2,,,2,20,20,20,21,20,20,20,1
2,5,3,0,0,2,4e-06,114,0,254,0,0,0,0,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424237592,1424237592,0.004,0.0,0.0,0.0,0.0,0,2,,,2,47,47,43,43,43,19,47,1
18,54,22,25,1,1,0.000431,208,104,29,31,0,0,2,2895591.75,965197.25,4,2,255,0,839315669,2988569521,52,52,0,0,0.198934,0.0,1421948880,1421948880,0.143667,0.003,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,1,1,1,1,1,0
6,55,15,4,1,1,0.25836,810,936,62,252,2,2,3,22573.1543,25359.96289,10,8,255,255,899467827,2086901521,81,117,1,51,1391.682535,45.896676,1424230485,1424230485,28.706667,33.953,0.06592,0.02004,0.04588,0,1,1.0,,2,1,1,1,1,1,1,1,1
14,56,1,0,0,0,0.001042,146,178,31,29,0,0,0,560460.625,683301.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424222734,1424222734,0.009,0.006,0.0,0.0,0.0,0,0,,,2,3,2,2,10,2,1,1,0
7,5,7,0,0,2,2e-06,264,0,60,0,0,0,0,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424247590,1424247590,0.002,0.0,0.0,0.0,0.0,0,0,,,2,35,35,22,22,22,22,35,0
2,57,6,26,1,1,0.526264,790,816,254,252,4,5,2,11157.89746,11522.7334,14,14,255,255,2153646091,190648543,56,58,0,0,2025.40921,1939.348358,1424229761,1424229761,40.481845,37.104692,0.069859,0.043265,0.026594,0,1,,,2,5,5,1,1,1,1,5,1
6,2,9,0,0,2,1e-06,114,0,254,0,0,0,0,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424223507,1424223507,0.001,0.0,0.0,0.0,0.0,0,2,,,2,17,17,6,8,6,6,17,1
1,58,4,7,1,1,0.019252,1540,1644,31,29,4,4,2,600041.5625,645335.5625,16,18,255,255,3464665915,3474773512,96,91,0,0,97.163703,2.241596,1424245552,1424245552,1.262267,1.105706,0.000566,0.000453,0.000113,0,0,,,2,4,7,5,2,2,1,2,0
2,5,3,0,0,2,8e-06,114,0,254,0,0,0,0,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424239805,1424239805,0.008,0.0,0.0,0.0,0.0,0,2,,,2,31,31,22,21,20,20,31,1
2,5,2,0,0,2,3e-06,114,0,254,0,0,0,0,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424254527,1424254527,0.003,0.0,0.0,0.0,0.0,0,2,,,2,16,16,16,16,16,16,16,1
4,59,4,27,1,1,0.004642,424,8824,31,29,1,4,5,639379.5625,13940543.0,8,12,255,255,4110733563,4121887804,53,735,0,0,39.248658,21.474981,1421961764,1421961764,0.621571,0.377455,0.000618,0.000486,0.000132,0,0,0.0,0.0,0,3,3,5,6,1,1,4,0
10,60,13,28,1,1,0.046376,320,1838,31,29,1,2,5,46058.30469,277557.3438,6,8,255,255,3929979983,2082704149,53,230,0,0,630.58193,15.795303,1421930038,1421930038,9.218,6.556143,0.001507,0.00048,0.001027,0,0,0.0,0.0,0,3,3,3,4,1,1,2,0
2,2,2,0,0,2,4e-06,114,0,254,0,0,0,0,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424252292,1424252292,0.004,0.0,0.0,0.0,0.0,0,2,,,2,33,33,16,17,16,16,33,1
1,61,12,29,1,1,1.292307,4992,3080,31,29,7,7,2,29800.96875,18435.24805,28,30,255,255,3320691045,1358279657,178,103,0,0,3015.087151,80.331047,1424255256,1424255257,47.851667,44.544484,0.00068,0.000514,0.000166,0,0,,,2,4,4,2,1,1,1,3,0
2,5,3,0,0,2,9e-06,114,0,254,0,0,0,0,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424238794,1424238794,0.009,0.0,0.0,0.0,0.0,0,2,,,2,47,47,38,38,38,17,47,1
